Ticker,Company Name
AJG,Arthur J. Gallagher & Co.
AZO,"AutoZone, Inc."
CTVA,"Corteva, Inc. Common Stock"
ICE,Intercontinental Exchange  Inc.
MCK,McKesson Corporation
MKL,Markel Group Inc.
ORLY,"O'Reilly Automotive, Inc."
SLM,SLM Corporation
SNOW,Snowflake Inc.
SPOT,Spotify Technology S.A.
