Date,ADBE,AMD,BDX,BIO,BLDR,CAT,CRM,DHI,EMN,EPAM,FI,FICO,FSLR,GWW,HUBB,IRM,IT,KKR,LEN,MLM,MSI,NOW,NVR,ODFL,ORCL,PCAR,ROST,TGT,TSLA,URI,WAT,WST
2022-05-02,407.2900085449219,89.83999633789062,234.35255432128906,501.4200134277344,63.279998779296875,200.07003784179688,176.3066864013672,68.48597717285156,91.50436401367188,288.5,97.12999725341797,374.0899963378906,73.63999938964844,476.3367004394531,185.47802734375,45.16964340209961,290.0400085449219,51.4940185546875,73.32176208496094,348.58258056640625,207.22911071777344,484.5,4432.64990234375,138.0135040283203,70.89517974853516,49.29130554199219,97.8628921508789,210.80650329589844,300.9800109863281,299.308349609375,302.3800048828125,309.82501220703125
2022-05-03,407.5799865722656,91.12999725341797,237.45394897460938,500.92999267578125,64.83000183105469,201.53228759765625,177.091064453125,69.41512298583984,94.28022003173828,297.0,99.44000244140625,370.5199890136719,75.11000061035156,469.7082824707031,186.12680053710938,46.835655212402344,281.1300048828125,52.80714416503906,74.5550765991211,359.4906311035156,207.6343536376953,481.8599853515625,4475.52978515625,138.7527313232422,70.21497344970703,49.919105529785156,97.02257537841797,213.338623046875,303.0833435058594,304.5920715332031,326.92999267578125,304.0700988769531
2022-05-04,423.3500061035156,99.41999816894531,241.94859313964844,513.5800170898438,68.61000061035156,209.99473571777344,184.160400390625,73.14139556884766,97.06505584716797,312.6000061035156,102.54000091552734,378.4200134277344,78.69999694824219,490.1468505859375,191.01181030273438,48.67986297607422,280.05999755859375,55.783565521240234,78.54692077636719,370.3690185546875,211.67724609375,499.4599914550781,4685.08984375,143.42478942871094,72.0544204711914,51.63823318481445,100.37417602539062,217.82481384277344,317.5400085449219,312.44940185546875,342.4700012207031,315.96697998046875
2022-05-05,400.510009765625,93.87000274658203,247.76971435546875,507.45001220703125,65.91000366210938,203.71160888671875,171.0741729736328,68.86344146728516,94.92703247070312,346.0,99.55000305175781,362.6700134277344,76.41000366210938,468.8834228515625,187.84422302246094,48.626407623291016,259.54998779296875,53.847923278808594,74.18790435791016,349.3477478027344,203.00286865234375,469.3299865722656,4446.0,139.62010192871094,69.74552154541016,49.98950958251953,96.48165130615234,211.7056121826172,291.09332275390625,295.57470703125,333.239990234375,312.3155212402344
2022-05-06,391.010009765625,95.33999633789062,246.17608642578125,501.4599914550781,65.08999633789062,202.50399780273438,168.49266052246094,67.98474884033203,95.12466430664062,347.0,95.70999908447266,349.8900146484375,72.13999938964844,465.47454833984375,187.4911651611328,48.32350158691406,252.80999755859375,52.087364196777344,73.943115234375,339.40118408203125,199.2591094970703,456.739990234375,4415.6201171875,138.1613006591797,69.44852447509766,49.57880401611328,92.95622253417969,206.61387634277344,288.54998779296875,288.0293273925781,327.92999267578125,303.9609069824219
2022-05-09,376.9100036621094,86.36000061035156,240.6698760986328,479.04998779296875,64.75,194.61705017089844,162.43606567382812,67.8973617553711,92.90576934814453,317.8900146484375,93.62999725341797,341.44000244140625,68.25,464.4031677246094,187.89187622070312,47.227657318115234,239.32000732421875,48.498146057128906,72.75686645507812,326.4430847167969,194.98463439941406,425.8699951171875,4370.16015625,133.65684509277344,68.53839874267578,50.07752227783203,90.2227783203125,205.68727111816406,262.3699951171875,279.6066589355469,316.2900085449219,294.5148620605469
2022-05-10,393.0299987792969,88.7300033569336,238.66587829589844,490.1700134277344,65.12999725341797,191.50381469726562,165.96080017089844,66.22735595703125,91.75588989257812,319.6199951171875,92.77999877929688,358.4100036621094,67.58000183105469,457.10821533203125,183.07366943359375,45.88237380981445,246.00999450683594,49.76263427734375,71.32583618164062,321.88177490234375,195.7276153564453,432.32000732421875,4274.2099609375,135.1156005859375,69.48685455322266,49.33528518676758,86.56210327148438,201.01756286621094,266.67999267578125,286.30389404296875,321.42999267578125,293.95916748046875
2022-05-11,379.3299865722656,87.91999816894531,237.6066436767578,475.2200012207031,62.9900016784668,193.59817504882812,160.12265014648438,62.974735260009766,91.50436401367188,296.05999755859375,92.58000183105469,351.0899963378906,61.720001220703125,447.2225036621094,180.55484008789062,45.03600311279297,244.77000427246094,48.78022766113281,67.12686920166016,315.42724609375,194.8592071533203,420.3599853515625,4110.990234375,133.47447204589844,68.0497817993164,48.66374206542969,84.85249328613281,195.8616485595703,244.6666717529297,273.7575378417969,311.6600036621094,288.5415954589844
2022-05-12,388.489990234375,87.05999755859375,238.3032684326172,482.80999755859375,64.0,191.5415802001953,159.27867126464844,65.59623718261719,90.75874328613281,294.5,93.55000305175781,352.7300109863281,61.400001525878906,457.0206298828125,185.5257110595703,46.23873519897461,247.60000610351562,46.98074722290039,70.01718139648438,321.3226318359375,194.46359252929688,432.94000244140625,4247.75,132.8928985595703,67.76239013671875,49.182132720947266,86.07915496826172,199.32949829101562,242.6666717529297,275.9022216796875,313.95001220703125,293.6912841796875
2022-05-13,405.45001220703125,95.12000274658203,237.08175659179688,502.1099853515625,66.88999938964844,192.76795959472656,165.72251892089844,66.53804779052734,92.5733871459961,319.25,96.16999816894531,361.5299987792969,64.25,464.89990234375,185.2681121826172,46.6218376159668,255.52000427246094,50.322933197021484,72.26729583740234,326.49212646484375,207.7308349609375,452.6499938964844,4293.56982421875,134.6030731201172,68.18391418457031,49.33528518676758,88.91885375976562,201.5863800048828,256.5299987792969,281.18585205078125,320.4200134277344,302.6014709472656
