Ticker,Company Name
ICE,Intercontinental Exchange  Inc.
MCK,McKesson Corporation
ORLY,"O'Reilly Automotive, Inc."
AJG,Arthur J. Gallagher & Co.
AZO,"AutoZone, Inc."
CTVA,"Corteva, Inc. Common Stock"
