0
ADBE
AMD
BAH
BIO
BLD
BLDR
CACI
CART
CAT
CAVA
CHDN
CLH
CRH
CRM
CSL
DHI
DKNG
EME
EMN
EVR
EXP
FCNCA
FI
FICO
FSLR
GLOB
GPK
GWW
HUBB
HUBS
HUN
IRM
IT
KIM
KKR
LEN
LHX
LII
MANH
MLM
MSI
NOW
NVR
OC
ODFL
ORCL
PCAR
PH
POST
ROST
RPM
SAIA
SAM
TEAM
TMO
TOL
TSLA
UNH
URI
UTHR
VMI
WAT
WLK
WST
