0
GOOG
TSLA
ORCL
AMD
ADBE
CRM
AMGN
CAT
NOW
REGN
KKR
FI
EQIX
NXPI
MSI
PCAR
ROST
NSC
GWW
DHI
LHX
URI
LEN
FICO
MLM
IRM
NTAP
FSLR
WST
NVR
HUBB
BLDR
KIM
EMN
BIO
DAY
