Date,ABBV,AZO,MCK,NFLX,ORLY
2022-05-02,132.0007781982422,2006.68994140625,301.974853515625,199.4600067138672,610.6500244140625
2022-05-03,133.54518127441406,1976.2900390625,302.9689636230469,199.8699951171875,603.489990234375
2022-05-04,135.32159423828125,2054.580078125,314.73101806640625,204.00999450683594,628.0800170898438
2022-05-05,135.84823608398438,1973.0899658203125,310.2723388671875,188.32000732421875,603.5499877929688
2022-05-06,136.42848205566406,2000.0,328.7371826171875,180.97000122070312,608.4000244140625
2022-05-09,134.7592010498047,1951.6600341796875,321.3354797363281,173.10000610351562,610.0700073242188
2022-05-10,135.7678985595703,1950.8900146484375,324.6426086425781,177.66000366210938,611.8099975585938
2022-05-11,135.6519012451172,1930.97998046875,326.8670959472656,166.3699951171875,607.530029296875
2022-05-12,137.73182678222656,1954.760009765625,316.9456787109375,174.30999755859375,622.3400268554688
2022-05-13,137.026611328125,2001.1099853515625,319.1405334472656,187.63999938964844,635.6199951171875
2022-05-16,138.7852020263672,2023.489990234375,322.6741027832031,186.50999450683594,638.8300170898438
2022-05-17,138.16921997070312,2031.8699951171875,327.9203186035156,190.55999755859375,648.3400268554688
2022-05-18,136.07139587402344,1839.6199951171875,315.6070251464844,177.19000244140625,599.8699951171875
2022-05-19,135.43760681152344,1889.3900146484375,314.1109619140625,183.47999572753906,601.530029296875
2022-05-20,134.80380249023438,1771.6800537109375,317.78228759765625,186.35000610351562,572.5700073242188
2022-05-23,132.1436309814453,1805.219970703125,322.4772644042969,187.44000244140625,579.1099853515625
2022-05-24,133.1077117919922,1910.219970703125,323.6287841796875,180.33999633789062,608.1799926757812
2022-05-25,135.6519012451172,1964.6600341796875,328.2351989746094,187.8300018310547,615.7899780273438
2022-05-26,134.41104125976562,2028.9599609375,331.1290283203125,191.39999389648438,639.1500244140625
2022-05-27,133.90219116210938,2055.389892578125,329.6919860839844,195.19000244140625,647.3400268554688
2022-05-31,131.55445861816406,2059.64990234375,323.97515869140625,197.44000244140625,637.1699829101562
2022-06-01,130.349365234375,2035.1099853515625,317.588134765625,192.91000366210938,624.6099853515625
2022-06-02,131.00100708007812,2061.300048828125,314.01019287109375,205.08999633789062,634.1199951171875
2022-06-03,131.37591552734375,2058.0400390625,311.841796875,198.97999572753906,631.6099853515625
2022-06-06,130.80459594726562,2099.06005859375,313.1033630371094,197.13999938964844,637.7999877929688
2022-06-07,133.13450622558594,2119.97998046875,317.03619384765625,198.61000061035156,634.8400268554688
2022-06-08,133.23272705078125,2092.35009765625,310.5011901855469,202.8300018310547,624.8300170898438
2022-06-09,129.8226318359375,2101.14990234375,307.55413818359375,192.77000427246094,619.1300048828125
2022-06-10,127.83196258544922,2064.4599609375,308.8453674316406,182.94000244140625,607.4400024414062
2022-06-13,124.45765686035156,2026.6600341796875,302.58642578125,169.69000244140625,594.27001953125
2022-06-14,122.85079956054688,2033.5799560546875,302.1231689453125,167.5399932861328,596.6900024414062
2022-06-15,123.27037048339844,2013.81005859375,303.26654052734375,180.11000061035156,599.010009765625
2022-06-16,124.21659851074219,2001.1600341796875,299.6590881347656,173.35000610351562,585.0
2022-06-17,123.43998718261719,1992.550048828125,296.258544921875,175.50999450683594,586.719970703125
2022-06-21,128.07296752929688,2032.1199951171875,304.9421691894531,170.91000366210938,597.3499755859375
2022-06-22,131.72406005859375,2071.6201171875,306.5881652832031,178.88999938964844,608.8200073242188
2022-06-23,133.41123962402344,2108.639892578125,310.1464538574219,181.7100067138672,628.1900024414062
2022-06-24,135.99110412597656,2158.909912109375,316.93756103515625,190.85000610351562,639.0599975585938
2022-06-27,136.70523071289062,2169.27001953125,321.560302734375,189.13999938964844,641.1199951171875
2022-06-28,136.12501525878906,2125.330078125,316.93756103515625,179.60000610351562,630.52001953125
2022-06-29,137.597900390625,2140.0,323.35418701171875,178.36000061035156,637.1300048828125
2022-06-30,136.72308349609375,2149.1201171875,321.5307312011719,174.8699951171875,631.760009765625
2022-07-01,137.29440307617188,2159.81005859375,324.8031311035156,179.9499969482422,636.0800170898438
2022-07-05,137.41043090820312,2140.389892578125,317.7556457519531,185.8800048828125,647.510009765625
2022-07-06,136.16067504882812,2167.5400390625,316.9277648925781,184.05999755859375,657.75
2022-07-07,135.68756103515625,2168.60009765625,316.6418762207031,189.27000427246094,661.6199951171875
2022-07-08,136.44635009765625,2182.3701171875,326.4491882324219,186.97999572753906,657.8800048828125
2022-07-11,136.7855682373047,2160.010009765625,324.09344482421875,177.33999633789062,655.2999877929688
2022-07-12,136.0982208251953,2158.60009765625,322.6839904785156,174.4499969482422,653.2899780273438
2022-07-13,135.82147216796875,2174.889892578125,320.5155334472656,176.55999755859375,667.1599731445312
2022-07-14,135.55116271972656,2175.340087890625,321.80670166015625,174.77999877929688,673.780029296875
2022-07-15,138.4164276123047,2215.030029296875,325.2663879394531,189.11000061035156,683.2000122070312
2022-07-18,134.7672576904297,2191.800048828125,321.3533020019531,190.9199981689453,672.739990234375
2022-07-19,134.92044067382812,2224.320068359375,325.23675537109375,201.6300048828125,689.3200073242188
2022-07-20,133.0733184814453,2194.530029296875,321.9151306152344,216.44000244140625,689.9600219726562
2022-07-21,133.1273956298828,2138.75,323.1078186035156,223.8800048828125,685.8599853515625
2022-07-22,133.77613830566406,2147.6201171875,325.7000732421875,220.44000244140625,688.2000122070312
2022-07-25,135.35293579101562,2144.8701171875,331.37744140625,218.50999450683594,685.2000122070312
2022-07-26,135.93861389160156,2097.39990234375,332.8263854980469,213.91000366210938,675.3499755859375
